Date,BRK
2023-12-29,-0.00599921
2024-01-31,0.06522913
2024-02-29,0.06667764
2024-03-28,0.02899794
2024-04-30,-0.05507217
2024-05-31,0.04653876
2024-06-28,-0.02416162
2024-07-31,0.07671788
2024-08-30,0.08508518
2024-09-30,-0.03371998
2024-10-31,-0.02057424
2024-11-29,0.069547
2024-12-31,-0.05955472
2025-01-31,0.0318591
2025-02-28,0.10302462
2025-03-31,0.03024724
2025-04-30,0.00262812
2025-05-30,-0.05388863
2025-06-30,-0.03776076
2025-07-31,-0.01228046
2025-08-29,0.04921859
2025-09-30,-0.00142993
2025-10-31,-0.05099443
2025-11-28,0.07594937
2025-12-31,-0.01986755
